index;customer_id;Recency;Frequency;Monetary;R_score;F_score;M_score;RFM_score;segment;cluster
0;00012a2ce6f8dcda20d059ce98491703;338;1;114,74;2;1;3;213;At Risk;1
1;000161a058600d5901f007fab4c27140;459;1;67,41;1;1;2;112;At Risk;1
2;0001fd6190edaaf884bcaf3d49edf079;597;1;195,42;1;1;4;114;At Risk;1
3;0002414f95344307404f0ace7a26f1d5;428;1;179,35;1;1;3;113;At Risk;1
4;000379cdec625522490c315e70c7a9fb;199;1;107,01;3;1;3;313;At Risk;0
5;0004164d20a9e969af783496f3408652;554;1;71,80;1;1;2;112;At Risk;1
6;000419c5494106c306a97b5635748086;229;1;49,40;3;1;1;311;At Risk;0
7;00046a560d407e99b969756e0b10f282;304;1;166,59;2;1;3;213;At Risk;0
8;00050bf6e01e69d5c0fd612f1bcfb69c;396;1;85,23;2;1;2;212;At Risk;1
9;000598caf2ef4117407665ac33275130;68;1;1255,71;4;1;4;414;Regular;2
10;0005aefbb696d34b3424dccd0a0e9fd0;120;1;147,33;4;1;3;413;Regular;0
11;00062b33cb9f6fe976afdcff967ea74d;581;1;58,95;1;1;1;111;At Risk;1
12;00066ccbe787a588c52bd5ff404590e3;254;4;270,00;3;4;4;344;At Risk;2
13;00072d033fe2e59061ae5c3aff1a2be5;412;1;106,97;1;1;2;112;At Risk;1
14;0009a69b72033b2d0ec8c69fc70ef768;538;1;173,60;1;1;3;113;At Risk;1
15;000bf8121c3412d3057d32371c5d3395;372;2;45,56;2;4;1;241;At Risk;1
16;000e943451fc2788ca6ac98a682f2f49;545;4;424,92;1;4;4;144;At Risk;2
17;000f17e290c26b28549908a04cfe36c1;342;1;139,52;2;1;3;213;At Risk;1
18;000fd45d6fedae68fc6676036610f879;186;1;66,81;3;1;2;312;At Risk;0
19;0010068a73b7c56da5758c3f9e5c7375;554;1;54,83;1;1;1;111;At Risk;1
20;001028b78fd413e19704b3867c369d3a;189;1;37,61;3;1;1;311;At Risk;0
21;00104a47c29da701ce41ee52077587d9;276;1;100,34;2;1;2;212;At Risk;0
22;001051abfcfdbed9f87b4266213a5df1;141;3;195,60;4;4;4;444;At Risk;0
23;00114026c1b7b52ab1773f317ef4880b;503;1;66,01;1;1;2;112;At Risk;1
24;001226b2341ef620415ce7bbafcfac28;384;1;47,53;2;1;1;211;At Risk;1
25;0012a5c13793cf51e253f096a7e740dd;227;1;369,92;3;1;4;314;At Risk;0
26;0013280441d86a4f7a8006efdaf1b0fe;283;1;162,15;2;1;3;213;At Risk;0
27;0013cd8e350a7cc76873441e431dd5ee;163;1;92,60;4;1;2;412;At Risk;0
28;001450ebb4a77efb3d68be5f7887cb1e;234;2;61,33;3;4;1;341;At Risk;0
29;00146ad30454993879adaa91c518f68c;282;1;221,79;2;1;4;214;At Risk;0
30;00155f0530cc7b2bf73cc3f81cb01c52;521;1;40,75;1;1;1;111;At Risk;1
31;001574cd5824c0b1ea90dd4f4ba6d5b8;326;1;0,00;2;1;1;211;At Risk;1
32;0015bc9fd2d5395446143e8b215d7c75;128;1;132,19;4;1;3;413;At Risk;0
33;0015f7887e2fde13ddaa7b8e385af919;444;1;186,74;1;1;4;114;At Risk;1
34;0017a0b4c1f1bdb9c395fa0ac517109c;228;1;50,01;3;1;1;311;At Risk;0
35;0018c09f333634ca9c80d9ff46e43e9c;108;1;56,87;4;1;1;411;Regular;0
36;0018f7fde63ca77254dbc47f4ea358b2;387;1;51,27;2;1;1;211;At Risk;1
37;0019c9aaad15b043c48f0a1180f22ce8;226;1;112,83;3;1;3;313;At Risk;0
38;001a57041f56400917a187dd74e6cbc1;273;1;53,72;2;1;1;211;At Risk;0
39;001b4e9b73aa98a6276b241bfd496822;194;1;82,87;3;1;2;312;At Risk;0
40;001c7f05398c45b42eee0d5a77783bca;189;1;21,94;3;1;1;311;At Risk;0
41;001df1ee5c36767aa607001ab1a13a06;73;1;42,86;4;1;1;411;Regular;0
42;001f150aebb5d897f2059b0460c38449;162;1;125,97;4;1;3;413;At Risk;0
43;001f35d9f262c558fd065346fbf5801d;265;1;46,53;3;1;1;311;At Risk;0
44;001f6f1a5e902ad14e1f709a7215de11;617;1;34,86;1;1;1;111;At Risk;1
45;00205ad9ba1ef4340cef86583294cf82;158;1;928,70;4;1;4;414;At Risk;0
46;002236c4f333bc8df6a5939749eb7869;268;1;69,84;3;1;2;312;At Risk;0
47;002348c1099e3229276c8ad7d4ddc702;281;1;249,56;2;1;4;214;At Risk;0
48;002408f390f729598bbac1ef9421c6ae;281;1;258,01;2;1;4;214;At Risk;0
49;002450e9ea44cb90b8a07ba0b197e149;428;1;40,00;1;1;1;111;At Risk;1
50;002554bdf9eb99618d8189c3a89fdd52;65;1;244,08;4;1;4;414;Regular;0
51;0026955706fd4e2fa997f3f4c18d485a;59;1;121,90;4;1;3;413;Regular;0
52;0026d252429f669d454d726e5e956aa1;343;1;139,15;2;1;3;213;At Risk;1
53;002834b4d901534f48d9e9a72047b288;374;1;214,14;2;1;4;214;At Risk;1
54;0028ff36263a86bf679df7c863a0a0ba;189;1;74,94;3;1;2;312;At Risk;0
55;002905287304e28c0218389269b4759b;88;1;31,70;4;1;1;411;Regular;0
56;002937abdae13680e17dccd3868b4825;327;1;43,55;2;1;1;211;At Risk;1
57;0029cdf064769cabdf3186b54d068c99;256;1;483,70;3;1;4;314;At Risk;0
58;002a10e899b62a460b0116e0b68697ad;165;1;92,81;4;1;2;412;At Risk;0
59;002b24cb2cd0c3e575040dbd278885e3;149;1;40,22;4;1;1;411;At Risk;0
60;002b5342c72978cf0aba6aae1f5d5293;37;1;0,00;4;1;1;411;Regular;0
61;002c625393dfa194828b462a6ef8cb0b;333;1;371,87;2;1;4;214;At Risk;1
62;002ce108ccf0356ef5c8b1dce3c0ae29;134;1;185,60;4;1;4;414;At Risk;0
63;002d358e2462f87678443706cbf2eb21;259;1;45,61;3;1;1;311;At Risk;0
64;002d597546b2cf44428232c9f237f873;88;1;117,74;4;1;3;413;Regular;0
65;002ebb669a34b9e79c88efc755e95322;68;1;133,57;4;1;3;413;Regular;0
66;002ef7e55600d44ead53f7c1644e5222;120;1;199,02;4;1;4;414;Regular;0
67;002f067b028a3643ad3a0969c7a0f3dc;364;1;107,84;2;1;3;213;At Risk;1
68;002f90a6eb386bc43bc9ba200db31a89;489;2;153,51;1;4;3;143;At Risk;1
69;002fb8fc5ce64f8422fa2fe79986c783;325;1;67,68;2;1;2;212;At Risk;1
70;002ff70a5285669011090c077ef929af;74;1;81,14;4;1;2;412;Regular;0
71;00302a0b99783c3d1d1e81c616e321e8;205;1;159,48;3;1;3;313;At Risk;0
72;0030aded3a67b29946a128ee8468388e;328;1;58,59;2;1;1;211;At Risk;1
73;0030fbb95fbe7e61f798a80edb01a8e9;342;1;26,85;2;1;1;211;At Risk;1
74;00314f95a054231742e3c5396b333b88;282;1;59,34;2;1;1;211;At Risk;0
75;003177b3eeca50af17750f53802c9a09;102;1;133,81;4;1;3;413;Regular;0
